LocationID,Loc1,Loc2,Loc3,Loc4,Loc5,Loc6,Loc7,Loc8,Loc9,Loc10,Loc11,Loc12,Loc13,Loc14,Loc15,Loc16,Loc17,Loc18,Loc19,Loc20,Loc21,Loc22,Loc23,Loc24,Loc25,Junc1,Junc2,Junc3,Junc4,Junc5,Junc6,Junc7,Junc8,Junc9,Junc10,Junc11,Junc12,Junc13,Junc14,Junc15,Junc16,Junc17,Junc18,Junc19,Junc20,Junc21,Junc22,Junc23,Junc24,Junc25,Res1,Res2,Res3,Res4,Res5,Res6,Res7,Res8,Res9,Res10,Res11,Res12,Res13,Res14,Res15,Res16,Res17,Res18,Res19,Res20
Loc1,0,16.67,9.33,11.51,22.06,26.08,17.19,19.94,25.55,17.42,16.67,28.56,12.84,15.84,24.18,34.85,20.73,21.74,25.92,19.55,14.61,17.84,2.16,21.34,20.62,15.99,15.93,19.63,13.89,14.4,16.35,24.8,15.63,20.84,21.09,24.12,25.29,16.67,16.18,16.19,25.88,26.59,17.32,17.85,17.02,20.77,10.07,20.85,18.22,22.14,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Loc2,17.32,0,8.37,7.22,11.78,15.8,8.1,3.5,21.55,15.48,13.92,14.92,9.54,3.25,12.32,21.21,10.45,9.59,13.43,10.63,5.52,5.14,18.42,9.91,13.17,5.13,5.83,6,4.81,3.26,7.26,12.3,6.55,10.56,7.44,10.48,12.01,8.19,7.09,4.7,13.38,12.95,8.4,5.16,7.04,6.16,8.16,10.36,9.3,11.86,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Loc3,9.3,8.38,0,2.23,13.35,17.37,9.67,10.66,23.11,16.48,15.49,20.16,10.43,6.56,16.21,26.45,12.02,13.48,17.21,12.2,7.09,9.43,10.4,13.79,14.74,6.7,8.04,11.23,6.38,5.12,8.83,14.78,8.12,12.13,12.68,15.72,15.28,9.76,8.66,8.19,15.86,18.19,9.97,9.45,9.01,12.37,3.87,12.84,10.87,13.43,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Loc4,11.48,7.25,1.93,0,12.22,16.24,8.54,9.53,21.98,15.92,14.36,19.03,9.98,5.43,15.08,25.32,10.89,12.35,16.08,11.07,5.96,8.3,12.59,12.66,13.61,5.57,6.91,10.1,5.25,3.99,7.7,13.65,6.99,11,11.55,14.59,14.15,8.63,7.53,7.06,14.73,17.06,8.84,8.31,7.88,11.24,1.49,11.71,9.74,12.3,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Loc5,22.04,11.77,13.36,12.22,0,6.97,4.12,13.15,17.92,11.86,10.3,10.6,11.58,9.95,7.59,25.63,1.56,5.15,2.52,5.36,7.66,9.77,23.14,4.75,7.15,7.95,6.72,10.47,7.09,8.51,4.52,5.2,5.29,1.27,10.28,14.9,5.7,5.91,5.83,7.72,6.28,17.37,4.78,9.78,5.9,12.8,13.15,3.46,3.97,3.03,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Loc6,26.05,15.78,17.38,16.23,6.97,0,8.13,17.05,15.97,15.87,14.31,17.73,15.59,13.96,14.72,30.8,7.02,12.28,13.46,6.89,11.67,13.78,27.15,11.88,8.68,11.96,10.74,15.58,11.1,12.52,8.53,12.33,9.3,8.37,15.97,20.07,12.83,9.92,9.84,11.73,13.41,22.54,8.79,13.79,11.82,16.72,17.16,10.59,7.98,3.94,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Loc7,18.4,8.09,9.68,8.54,4.12,8.13,0,9.36,14.97,8.9,7.35,12.25,7.94,6.27,9.24,23.1,2.78,6.8,7.98,4.05,3.98,6.09,19.5,6.4,6.6,4.26,3.04,7.88,3.4,4.83,0.87,6.85,1.61,2.89,9.34,12.37,7.35,2.21,2.15,4.03,7.93,14.84,1.82,6.1,4.13,9.02,9.47,5.11,1.47,4.19,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Loc8,19.6,3.5,10.65,9.5,11.73,17.09,9.39,0,22.83,16.77,15.21,13.63,11.89,5.53,11.04,19.92,11.74,8.3,12.15,11.91,7.17,4.69,20.7,8.62,14.46,6.84,7.15,4.71,7.15,5.54,8.55,11.01,7.78,10.51,6.16,9.19,10.73,9.48,7.32,6.01,12.09,11.66,9.69,4.7,6.89,3.77,10.44,9.07,10.59,13.15,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Loc9,26.61,22.56,24.15,23.01,18.91,16.05,16,23.83,0,11.84,10.28,27.04,15.14,20.74,24.03,37.57,17.57,21.59,22.77,15.99,18.45,20.56,27.71,21.19,16.01,18.73,17.51,22.35,17.88,19.3,15.34,21.64,16.08,17.68,23.81,26.84,22.14,15.36,16.62,18.5,22.72,29.31,14.18,20.57,18.6,23.49,23.94,19.9,15.07,18.98,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Loc10,17.41,15.49,17.08,15.94,11.84,15.86,8.93,16.76,10.77,0,2.66,19.97,6.91,13.67,16.96,30.5,10.5,14.52,15.7,8.92,11.38,13.49,18.51,14.12,8.94,11.66,10.44,15.28,10.8,12.23,8.27,14.57,9.01,10.61,16.74,19.77,15.07,8.29,9.55,11.43,15.65,22.24,7.11,13.5,11.53,16.42,16.87,12.83,8,11.91,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Loc11,16.66,13.93,15.52,14.38,10.28,14.3,7.37,15.2,9.21,2.66,0,18.41,5.2,12.11,15.41,28.95,8.95,12.96,14.14,7.36,9.82,11.93,17.77,12.57,7.38,10.11,8.88,13.73,9.25,10.67,6.71,13.02,7.45,9.06,15.18,18.21,13.51,6.73,7.99,9.88,14.09,20.68,5.55,11.94,9.97,14.87,15.31,11.27,6.44,10.36,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Loc12,28.44,14.9,20.11,18.96,10.62,17.73,12.22,13.62,26.03,19.96,18.4,0,19.37,16.7,5.15,20.85,12.37,5.83,9.27,13.47,14.65,11.07,29.54,6.08,15.25,14.32,11.28,10.93,14.63,15.26,12.62,8.14,12.62,9.34,5.85,7.03,8.18,14.01,12.08,12.04,9.22,9.5,12.88,11.08,10.61,10.03,19.9,8.05,12.07,13.78,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Loc13,12.39,9.6,10.46,10.04,11.59,15.61,7.95,11.88,14.19,6.06,5.31,19.46,0,7.78,16.72,25.75,10.26,14.27,15.45,9.08,5.51,8.73,13.49,13.88,10.15,6.54,6.83,10.53,4.79,6.34,7.25,14.33,6.53,10.37,11.98,15.02,14.82,6.2,7.07,7.09,15.41,17.49,6.85,8.75,7.92,11.67,10.98,12.59,7.75,11.67,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Loc14,15.5,3.25,6.55,5.4,9.96,13.98,6.28,5.53,19.73,13.66,12.1,16.77,7.73,0,12.82,23.06,8.63,10.09,13.83,8.81,3.71,6.05,16.6,10.41,11.35,3.32,4.65,8.02,2.99,1.44,5.44,11.39,4.73,8.74,9.29,12.33,11.89,6.37,5.27,4.8,12.47,14.8,6.58,6.06,5.62,8.18,6.34,9.46,7.48,10.04,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
